View Name	View Description	View Version	Status Date
Lyme and Tickborne Rickettsial Disease Case Notification	List of value sets for the set of coded data elements used to communicate information to meet the requirements for Lyme and TBRD Case Notifications to CDC.	5	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Blood Product	PHVS_BloodProduct_CDC	2.16.840.1.114222.4.11.7540	1	If a transfused blood product was implicated in an investigation, specify which type(s) of product.	Published	08/31/2016	If a transfused blood product was implicated in an investigation, specify which type(s) of product.
Clinical Manifestation (TBRD)	PHVS_ClinicalManifestation_TBRD	2.16.840.1.114222.4.11.7832	2	Clinical manifestation of TBRD	Published	08/10/2018	v2
Clinical Manifestations (Lyme)	PHVS_ClinicalManifestations_Lyme	2.16.840.1.114222.4.11.7840	1	Clinical manifestations of Lyme Disease	Published	07/12/2018	Clinical manifestations of Lyme Disease
Complications (TBRD)	PHVS_Complication_TBRD	2.16.840.1.114222.4.11.7833	3	If the subject experienced complications due to this episode, what was the complication?	Published	11/20/2018	Revised the value set to remove Encephalitis and Meningitis concepts and add the concept Meningitis/encephalitis.
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	7	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	V7: Added new codes 09110, 09120, 09130, 09140, 09150, 09160, 09170, 09180, 09190 for Connecticut’s transition to using county equivalents (i.e., Planning Regions).
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Lab Test Interpretation	PHVS_LabTestInterpretation_CDC	2.16.840.1.114222.4.11.3048	2	Codes specifying qualitative lab test interpretation.	Published	10/22/2008	v2 Added: 720735008	Presumptive positive (qualifier value)
Lab Test Type (Lyme)	PHVS_LabTestType_Lyme	2.16.840.1.114222.4.11.7844	3	Interpretative lab test types associated with Lyme Disease. 	Published	11/14/2022	V3: Updated content August 2022 LOINC 2.73 release
Lab Test Type (TBRD)	PHVS_LabTestType_TBRD	2.16.840.1.114222.4.11.7835	5	Epidemiologic interpretation of the type of test(s) performed for this case.	Published	12/08/2022	V5: Updated content August 2022 LOINC 2.73 release
Medication Received (Lyme)	PHVS_MedicationReceived_Lyme	2.16.840.1.114222.4.11.7839	3	Medication received to treat Lyme disease	Published	11/20/2018	added unknown to the value set
Medication Received (TBRD)	PHVS_MedicationReceived_TBRD	2.16.840.1.114222.4.11.7834	2	What antibiotic did the patient receive for this episode?	Published	11/20/2018	added unknown to the value set
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Organism (Lyme)	PHVS_Organism_Lyme	2.16.840.1.114222.4.11.7843	2	Genus and species of the organism identified as Borrelia	Published	03/15/2022	V2: Corrected the spelling of Concept Name from SNOMED 'Borrelia burgdorferi (organism)' and Preferred Name to include middle 'r' in species name
Organism (TBRD)	PHVS_Organism_TBRD	2.16.840.1.114222.4.11.7836	1	Species identified	Published	07/10/2018	Species identified
Specimen Type (Lyme)	PHVS_SpecimenType_Lyme	2.16.840.1.114222.4.11.7841	2	List of specimens associated with Lyme disease laboratory tests	Published	06/14/2019	v2. Updated SNOMED codes. 
Specimen Type (TBRD)	PHVS_SpecimenType_TBRD	2.16.840.1.114222.4.11.7838	1	This indicates the type of specimen tested.	Published	06/11/2019	This indicates the type of specimen tested.
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	5	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	V5: Added Cycle threshold value
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
