View Name	View Description	View Version	Status Date
Measles Case Notification	List of value sets for the set of data elements used to communicate information to meet the requirements for Measles Case Notifications to CDC.  	9	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Age Unit (NND)	PHVS_AgeUnit_NND	2.16.840.1.114222.4.11.7452	1	Update based on new MMG guide	Published	02/01/2016	Update based on new MMG guide

Case Classification Exposure Source	PHVS_CaseClassificationExposureSource_NND	2.16.840.1.114222.4.11.3125	2	Answer list for how the case should be classified by source	Published	10/22/2008	Added OTHER to the value set
Case Confirmation Method	PHVS_CaseConfirmationMethod_NND	2.16.840.1.114222.4.11.3025	1	Codes specifying  the mechanism by which a case was classified, providing information about how the case classification status was derived.	Published	10/22/2008	Initial Load VADS 3.0
Case Detection Method	PHVS_CaseDetectionMethod_NND	2.16.840.1.114222.4.11.3026	3	Codes specifying the method by which the public health department was made aware of the case.	Published	10/22/2008	Added Laboratory Reported value. 
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	3	The current status of the investigation (open or closed)	Published	10/22/2008	Added OTHER to the value set
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
Duration Unit	PHVS_DurationUnit_CDC	2.16.840.1.114222.4.11.7265	2	Value set containing concepts to describe duration of an event, in various units of time.	Published	07/07/2020	v2
Genotype (Measles)	PHVS_Genotype_Measles	2.16.840.1.114222.4.11.3126	1	Measles genotypes answer list	Published	10/22/2008	Initial Load VADS 3.0
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Lab Test Interpretation (VPD)	PHVS_LabTestInterpretation_VPD	2.16.840.1.114222.4.11.3301	7	Epidemiologic interpretation of the results of the tests performed for Vaccine Preventable Disease (VPD).	Published	02/17/2022	v7: Updated the DEPRECATED SNOMED codes for Alpha, Beta and Gamma variants and updated PLR codes for SARS-CoV-2 variants to replace those codes.  Added two new codes for Delta and Omicron variants.
Lab Test Type (Measles)	PHVS_LabTestType_Measles	2.16.840.1.114222.4.11.7661	3	Interpretative lab test types associated with Measles.	Published	10/24/2019	Updated Value Set to include Concept "Measles IgM Ab [Presence] in Serum by Immunoassay".
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	16	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	07/19/2023	v16: Based on 11/1/22 update of MVX code system
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Performing Laboratory Type (VPD)	PHVS_PerformingLaboratoryType_VPD	2.16.840.1.114222.4.11.7330	1	Type of laboratory performing lab tests.	Published	07/08/2020	Initial version
Positive Negative Unknown Not Done	PHVS_PosNegUnkNotDone_CDC	2.16.840.1.114222.4.11.929	1	Values used for limited qualitative result reporting	Published	10/22/2008	Initial Load VADS 3.0
Signs and Symptoms (Measles)	PHVS_SignsSymptoms_Measles_NND	2.16.840.1.114222.4.11.7662	3	Signs & Symptoms value set for Measles. This value set is used to populate OBX-3 Observation Identifier in the message.	Published	07/03/2018	add ôOtherö and ôUnknownö
Specimen Source Site (VPD)	PHVS_SpecimenSourceSite_VPD	2.16.840.1.114222.4.11.7826	1	Body site from where specimen was taken.	Published	06/01/2018	Version 1
Temperature Unit	PHVS_TemperatureUnit_UCUM	2.16.840.1.114222.4.11.919	1	Units of measure for temperature	Published	10/22/2008	Initial Load VADS 3.0
Transmission Setting (NND)	PHVS_TransmissionSetting_NND	2.16.840.1.114222.4.11.1052	3	Location where the patient was exposed to the illness	Published	12/02/2015	Change preferred concept name for "Church" to "Place of worship"
Type of Complication (Measles)	PHVS_Complications_Measles	2.16.840.1.114222.4.11.7660	2	Complications associated with the illness being reported.	Published	07/03/2018	added Unknown
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	5	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	V5: Added Cycle threshold value
Vaccine Administered (MMR)	PHVS_VaccineAdministered_MMR	2.16.840.1.114222.4.11.7331	2		Published	06/10/2015	Added concept "other" 
Vaccine Event Information Source (NND)	PHVS_VaccineEventInformationSource_NND	2.16.840.1.114222.4.11.7450	3	Identifies the source of information for this immunization record or, more generically, whether the immunization being reported has just been administered (new) or came from other records (historical) 	Published	05/29/2019	Added new values: Primary Care Provider and Medical Chart
Vaccine Not Given Reason	PHVS_VaccineNotGivenReasons_CDC	2.16.840.1.114222.4.11.931	3	Reasons vaccine was not given	Published	01/29/2021	Added new concept "Vaccine not available"
VPD Specimen Type	SpecimenTypeVPD	2.16.840.1.114222.4.11.7104	6	speicmen type terms used for VPD project.	Published	06/20/2020	Added Dried blood specimen and Respiratory specimen.
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
