View Name	View Description	View Version	Status Date
Minimal Data Necessary for Case Notification View	Value Sets associated with MDN Case Notification Message Mapping 
Guide.	2	07/01/2025 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	2	Units of measure for age	Published	08/20/2015	v2
Case Classification Status	PHVS_CaseClassStatus_NND	2.16.840.1.114222.4.11.968	1	Indicates how the Nationally Notifiable Disease case was classified at its close	Published	10/22/2008	Initial Load VADS 3.0
Clinical Finding (NNDSS)	PHVS_SCTClinicalFinding_NNDSS	2.16.840.1.114222.4.11.8084	2	Clinical finding (finding) hierarchy from SNOMED and all its active descendants	Published	11/07/2024	V2: Clinical finding (finding) hierarchy from SNOMED and all its active descendants. Added concept code OTH
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	7	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	V7: Added new codes 09110, 09120, 09130, 09140, 09150, 09160, 09170, 09180, 09190 for Connecticut’s transition to using county equivalents (i.e., Planning Regions).
Disability Type	PHVS_DisabilityType_NNDSS	2.16.840.1.114222.4.11.8081	1	Type of disability (vision, hearing, mobility, cognition, self-care, independent living, communication, or intellectual/developmental).	Published	08/01/2024	v1
Disease Acquired Jurisdiction	PHVS_DiseaseAcquiredJurisdiction_NND	2.16.840.1.114222.4.11.3030	3	Codes specifying where the disease/condition was likely acquired.	Published	09/15/2014	v3 - No changes from v2

Ethnicity Group including Unknown	PHVS_EthnicityGroup_CDC_Unk	2.16.840.1.114222.4.11.3015	2	Ethnicity Group including Unknown	Published	10/22/2008	Added "Other" value set concept so that it will trigger adding the free text entry "Other Ethnicity" in surveillance system
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Lab Test Result Coded	PHVS_LabTestResultCoded_CDC	2.16.840.1.114222.4.11.8085	2	Value set is a combination of PHVS_Microorganism_CDC and PHVS_LabTestResultQualitative_CDC value sets	Published	11/07/2024	v2: added concept code OTH
Lab Test Result Name	PHVS_LabTestName_CDC	2.16.840.1.114222.4.11.1002	10	Laboratory Resulted Test identifiers and names - LOINC is the starter set	Published	03/27/2025	V10: Current with LOINC Release 2.77, February 2024. Where LOINC concepts ORDER_OBS = "Observation" OR "Both" and STATUS = "Active", "Discouraged", OR "Trial". Added concept code OTH
National Reporting Jurisdiction	PHVS_NationalReportingJurisdiction_NND	2.16.840.1.114222.4.11.3236	1	National jurisdiction reporting the notification to CDC	Published	06/29/2009	Initial Load of Value Set
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Race Category including Null Flavor	PHVS_RaceCategory_CDC_NullFlavor	2.16.840.1.114222.4.11.7205	1	Based on CDC Race Category Value Set but includes selected Null Flavor concepts.	Published	10/23/2013	version 1
Result Status (NND)	PHVS_ResultStatus_NND	2.16.840.1.114222.4.11.7231	1	Status of case notification.	Published	07/08/2020	v1
Sex (MFU)	PHVS_Sex_MFU	2.16.840.1.114222.4.11.1038	1	Constrained list of sex codes in use by public health. Keyword: Administrative Sex.	Published	12/27/2017	Initial Load VADS 3.0
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	13	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	11/07/2024	V13: added concept code OTH
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	6	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	Value set updated to UCUM code system update 03/20/2024
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
