View Name	View Description	View Version	Status Date
NEDSS Base System(NBS) Application Vocabulary	NBS is a specific implementation of the NEDSS standards. A patient-centric system facilitating public health surveillance through the transfer and processing of appropriate public health, laboratory, and clinical data.	3	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7)	PHVS_AbnormalFlag_HL7_2x	2.16.840.1.114222.4.11.800	1	HL7 version 2.5 User-Defined Table 0078 Abnormal Flags used for laboratory result interpretation	Published	10/22/2008	Initial Load VADS 3.0
Acute Convalescent IgG Difference (VPD)	PHVS_AcuteConvalescentIgGDiff_VPD	2.16.840.1.114222.4.11.3119	1	Answer list of interpretative results of the difference between the values for the acute and convalescent IgG tests	Published	10/22/2008	Initial Load VADS 3.0
Acute Illness Complications (Pediatric Flu)	PHVS_AcuteIllnessComplications_PediatricFlu	2.16.840.1.114222.4.11.3268	1	Listing of complications as related to the condition/illness	Published	10/29/2009	Acute Illness Complications (Pediatric Flu)
Additional Site of Disease (TB)	PHVS_AdditionalDiseaseSite_TB	2.16.840.1.114222.4.11.959	1	Other body sites where Tuberculosis found	Published	10/22/2008	Initial Load VADS 3.0
Address Type	PHVS_AddressType_CDC	2.16.840.1.114222.4.11.961	1	HL7 version 2.5 Table 0190 Address Type codes.  Information regarding the type of address being passed in the message (e.g., Mailing, Home, Business).	Published	10/22/2008	Initial Load VADS 3.0
Administration Method (HL7)	PHVS_AdministrationMethod_HL7_2x	2.16.840.1.114222.4.11.803	1	HL7 version 2.5 Table 0165 Administration Method codes used for Substance Administration	Published	10/22/2008	Initial Load VADS 3.0
Age Group (Flu)	PHVS_AgeGroup_Flu	2.16.840.1.114222.4.11.3259	1	Age of subjects being reported inside of a repeating group. Keyword: Age Group	Published	10/29/2009	Age Group (Flu)
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	1	Units of measure for age	Published	08/20/2015	Initial Load VADS 3.0
Animal	PHVS_Animal_CDC	2.16.840.1.114222.4.11.1074	4	Animal Keyword: Animal Type based on SNOMED domain (387961004)	Published	08/14/2010	SNOMED Update 01/31/2010
Animal Species (Animal Rabies)	PHVS_AnimalSpecies_AnimalRabies	2.16.840.1.114222.4.11.3068	1	Animal species answer list for animal rabies	Published	10/22/2008	Initial Load VADS 3.0
Animal Type (FDD)	PHVS_AnimalType_FDD	2.16.840.1.114222.4.11.3072	1	Animal contact answer list for Foodborne and Diarrheal Diseases	Published	10/22/2008	Initial Load VADS 3.0
Antibiotic Received (Pertussis)	PHVS_AntibioticReceived_Pertussis	2.16.840.1.114222.4.11.3120	1	Antibiotic patient received for Pertussis answer list	Published	06/10/2015	Initial Load VADS 3.0
Birth Attendees (VPD)	PHVS_BirthAttendees_VPD	2.16.840.1.114222.4.11.3121	1	Types of attendees at delivery answer list	Published	10/22/2008	Initial Load VADS 3.0
Birth Country (TB)	PHVS_BirthCountry_TB	2.16.840.1.114222.4.11.3169	1	Country of Birth. This includes current countries as well as historical countries (eg. USSR). This list is derived from ISO 3166-1, ISO 3166-3 (retired countries) and FIPS 10-4 (US Territories, Countries)	Published	11/15/2016	Initial Load VADS 3.0
Birth Location (VPD)	PHVS_BirthLocation_VPD	2.16.840.1.114222.4.11.3122	1	Infant's birth place location answer list	Published	10/22/2008	Initial Load VADS 3.0
Birth Outcome (VPD)	PHVS_BirthOutcome_VPD	2.16.840.1.114222.4.11.3123	1	Infant's birth outcome answer list	Published	10/22/2008	Initial Load VADS 3.0
Blood Contact Frequency (Hepatitis)	PHVS_BloodContactFrequency_Hepatitis	2.16.840.1.114222.4.11.3024	1	Codes indicating general levels of frequency.	Published	10/22/2008	Initial Load VADS 3.0
Body site	PHVS_BodySite_CDC	2.16.840.1.114222.4.11.967	4	Body site from which specimen taken or where disease or injury occurs. This is based on the SNOMED hierarchy (Anatomical Structure - 91723000).	Published	09/05/2025	SNOMED Update 01/31/2010
Body Site (FDD)	PHVS_BodySite_FDD	2.16.840.1.114222.4.11.3117	1	Body site answer list for Foodborne and Diarrheal Diseases	Published	10/22/2008	Initial Load VADS 3.0
Botulinum Toxin Type (FDD)	PHVS_BotulinumToxinType_FDD	2.16.840.1.114222.4.11.3073	1	Botulism toxin types answer list for Foodborne and Diarrheal Diseases	Published	10/22/2008	Initial Load VADS 3.0
Botulism Food Source Type (FDD)	PHVS_BotulismFoodSourceType_FDD	2.16.840.1.114222.4.11.3070	1	Food source of botulism answer list for Foodborne and Diarrheal Diseases	Published	10/22/2008	Initial Load VADS 3.0
Case Classification Exposure Source	PHVS_CaseClassificationExposureSource_NND	2.16.840.1.114222.4.11.3125	1	Answer list for how the case should be classified by source	Published	10/22/2008	Initial Load VADS 3.0
Case Classification Status	PHVS_CaseClassStatus_NND	2.16.840.1.114222.4.11.968	1	Indicates how the Nationally Notifiable Disease case was classified at its close	Published	10/22/2008	Initial Load VADS 3.0
Case Confirmation Method	PHVS_CaseConfirmationMethod_NND	2.16.840.1.114222.4.11.3025	1	Codes specifying  the mechanism by which a case was classified, providing information about how the case classification status was derived.	Published	10/22/2008	Initial Load VADS 3.0
Case Contact Signs and Symptoms (Flu)	PHVS_CaseContactSignsSymptoms_Flu	2.16.840.1.114222.4.11.3255	1	Flu signs and symptoms of contact, i.e., a contact is anyone who stayed overnight in the household, with the subject, 7 days before to 7 days after the subject's illness onset date. 	Published	10/29/2009	Case Contact Signs and Symptoms (Flu)
Case Count Status (TB)	PHVS_CaseCountStatus_TB	2.16.840.1.114222.4.11.3158	1	Case count status for Tuberculosis	Published	03/14/2018	Initial Load VADS 3.0
Case Detection Method	PHVS_CaseDetectionMethod_NND	2.16.840.1.114222.4.11.3026	1	Codes specifying the method by which the public health department was made aware of the case.	Published	10/22/2008	Initial Load VADS 3.0
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	1	The current status of the investigation (open or closed)	Published	10/22/2008	Initial Load VADS 3.0
Case Traced to Carrier	PHVS_CaseTracedToCarrier_FDD	2.16.840.1.114222.4.11.3074	1	Answer list for typhoid carrier tracing	Published	10/22/2008	Initial Load VADS 3.0
Case Transmission Mode	PHVS_CaseTransmissionMode_NND	2.16.840.1.114222.4.11.3027	1	Codes specifying the mechanism by which disease or condition was acquired.	Published	01/14/2019	Initial Load VADS 3.0
Case Verification (TB)	PHVS_CaseVerification_TB	2.16.840.1.114222.4.11.972	1	Current status of the RVCT.	Published	03/14/2018	Initial Load VADS 3.0
Cause of Death Related to TB	PHVS_CauseOfDeathRelatedTo_TB	2.16.840.1.114222.4.11.3166	1	Answer list to indicate whether cause of death was related to TB	Published	10/22/2008	Initial Load VADS 3.0
Change Pattern	PHVS_ChangePattern_CDC	2.16.840.1.114222.4.11.3258	1	Trend Indicator or Change Pattern (e.g. Increasing, Decreasing, Stable)	Published	10/29/2009	Change Pattern
Chest XRay Result	PHVS_ChestXRayResult_CDC	2.16.840.1.114222.4.11.930	1	Chest X-ray Results	Published	10/22/2008	Initial Load VADS 3.0
Cholera Risk Factor (FDD)	PHVS_CholeraRiskFactor_FDD	2.16.840.1.114222.4.11.3075	1	Cholera risk factor answer list	Published	10/22/2008	Initial Load VADS 3.0
Cholera Sequelae (FDD)	PHVS_CholeraSequelae_FDD	2.16.840.1.114222.4.11.3076	1	Cholera sequelae answer list	Published	10/22/2008	Initial Load VADS 3.0
Cholera Signs Symptoms (FDD)	PHVS_CholeraSignsSymptoms_FDD	2.16.840.1.114222.4.11.3077	1	Cholera signs and symptoms answer list	Published	10/22/2008	Initial Load VADS 3.0
City	PHVS_City_USGS_GNIS	2.16.840.1.114222.4.11.973	1	US Geological Survey Geographic Names Information System - location codes	Published	09/15/2020	Initial Load VADS 3.0
Confidentiality Code (HL7)	PHVS_ConfidentialityCode_HL7_2x	2.16.840.1.114222.4.11.976	1	Identifier of the confidentiality level that should be associated with this order.	Published	10/22/2008	Initial Load VADS 3.0
Contact Type (Hepatitis A)	PHVS_ContactType_HepatitisA	2.16.840.1.114222.4.11.3028	1	Codes specifying the type of contact  with another person.  This value set or answer list is specific to Hepatitis A.	Published	10/22/2008	Initial Load VADS 3.0
Count Group Type (Flu)	PHVS_CountGroupType_Flu	2.16.840.1.114222.4.11.3260	1	Type of grouped subjects being reported inside of a repeating group. Keyword: Count Group Type	Published	10/29/2009	Count Group Type (Flu)
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	Initial Load VADS 3.0
Cyclosporiasis Signs Symptoms (FDD)	PHVS_CyclosporiasisSignsSymptoms_FDD	2.16.840.1.114222.4.11.3078	1	Cyclosporiasis signs and symptoms answer list	Published	10/22/2008	Initial Load VADS 3.0
Day Care Type (FDD)	PHVS_DayCareType_FDD	2.16.840.1.114222.4.11.3079	1	Type of day care answer list	Published	10/22/2008	Initial Load VADS 3.0
Death Location (Flu)	PHVS_DeathLocation_Flu	2.16.840.1.114222.4.11.3261	1	Death Location. Where did the subject die?	Published	10/29/2009	Death Location (Flu)
Detailed Ethnicity	PHVS_Ethnicity_CDC	2.16.840.1.114222.4.11.877	1	List of detailed ethnicity codes reported on a limited basis	Published	10/22/2008	Initial Load VADS 3.0
Detailed Race	PHVS_Race_CDC	2.16.840.1.114222.4.11.876	1	Specific race codes reported on a limited basis	Published	10/22/2008	Initial Load VADS 3.0
Diagnosed by (VZ)	PHVS_DiagnosedBy_VZ	2.16.840.1.114222.4.11.980	1	Indicates who diagnosed the illness - varicella specific	Published	07/07/2017	Initial Load VADS 3.0
Diagnosed Pneumonia By (VZ)	PHVS_DiagnosedPneumoniaBy_VZ	2.16.840.1.114222.4.11.981	1	Indicates how pneumonia was diagnosed - varicella specific	Published	10/22/2008	Initial Load VADS 3.0
Directly Observed Therapy (TB)	PHVS_DirectlyObservedTherapy_TB	2.16.840.1.114222.4.11.982	1	The therapy that was directly observed by the health care provider (directly observed therapy, or DOT)	Published	10/22/2008	Initial Load VADS 3.0
Disease Acquired Jurisdiction	PHVS_DiseaseAcquiredJurisdiction_NND	2.16.840.1.114222.4.11.3030	1	Codes specifying where the disease/condition was likely acquired.	Published	09/15/2014	Initial Load VADS 3.0
Drug Manufacturers (NDC)	PHVS_DrugManufacturers_FDA_NDC	2.16.840.1.114222.4.11.1106	1	Drug Manufacturing Firm information.	Published	10/22/2008	Initial Load VADS 3.0
Drug Susceptibility Test Result Name	PHVS_DrugSusceptibilityTestResultName_CDC	2.16.840.1.114222.4.11.1071	3	Drug / Antimicrobial Test Result Name	Published	10/22/2008	Updates for LOINC Release January 2010
Education Level	PHVS_EducationLevel_HL7_V3	2.16.840.1.114222.4.11.3168	1	Highest Level of Education Received	Published	10/22/2008	Initial Load VADS 3.0
Employment Status  (Flu)	PHVS_EmploymentStatus_Flu	2.16.840.1.114222.4.11.3254	1	Type of work at the time of hospitalization within 7 days prior to illness onset	Published	10/29/2009	Employment Status  (Flu)
Epilinked Case Type (VZ)	PHVS_EpilinkedCaseType_VZ	2.16.840.1.114222.4.11.992	1	Type of case the varicella case is linked to e	Published	03/07/2024	Initial Load VADS 3.0
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
Extended Priority Codes (HL7)	PHVS_ExtendedPriorityCodes_HL7_2x	2.16.840.1.114222.4.11.1024	1	Extended Order Priority	Published	10/22/2008	Initial Load VADS 3.0
Fetal Neonatal Infection Type (FDD)	PHVS_FetalNeonatallnfectionType_FDD	2.16.840.1.114222.4.11.3081	1	Type of infection in fetus/neonate answer list	Published	10/22/2008	Initial Load VADS 3.0
Fetal Neonatal Specimen Type	PHVS_FetalNeonatalSpecimenType_CDC	2.16.840.1.114222.4.11.3082	1	Source of specimen collected from fetus/neonate answer list	Published	10/22/2008	Initial Load VADS 3.0
Flu Signs and Symptoms	PHVS_SignsSymptoms_Flu	2.16.840.1.114222.4.11.3240	1	Signs and Symptoms of  Flu	Published	07/02/2009	H1N1 Flu Vocabulary
Food Cooking Method (FDD)	PHVS_FoodCookingMethod_FDD	2.16.840.1.114222.4.11.3083	1	Method of cooking the suspect food answer list	Published	10/22/2008	Initial Load VADS 3.0
Food Processing Method (FDD)	PHVS_FoodProcessingMethod_FDD	2.16.840.1.114222.4.11.3084	1	Method of processing the suspect food answer list	Published	10/22/2008	Initial Load VADS 3.0
Fresh Berries (FDD)	PHVS_FreshBerries_FDD	2.16.840.1.114222.4.11.3085	1	Fresh berries consumed answer list	Published	10/19/2018	Initial Load VADS 3.0
Fresh Herbs (FDD)	PHVS_FreshHerbs_FDD	2.16.840.1.114222.4.11.3086	1	Fresh herbs consumed answer list	Published	10/19/2018	Initial Load VADS 3.0
Fresh Produce (FDD)	PHVS_FreshProduce_FDD	2.16.840.1.114222.4.11.3087	1	Fresh produce consumed answer list	Published	10/19/2018	Initial Load VADS 3.0
General Condition Status	PHVS_GeneralConditionStatus_CDC	2.16.840.1.114222.4.11.994	1	Patient's general status (alive, dead)	Published	10/22/2008	Initial Load VADS 3.0
Genotype (Measles)	PHVS_Genotype_Measles	2.16.840.1.114222.4.11.3126	1	Measles genotypes answer list	Published	10/22/2008	Initial Load VADS 3.0
Genotype (Rubella)	PHVS_Genotype_Rubella	2.16.840.1.114222.4.11.3127	1	Rubella genotypes answer list	Published	12/05/2017	Initial Load VADS 3.0
gp ELISA Manufacturer (VZ)	PHVS_gpELISAManufacturer_VZ	2.16.840.1.114222.4.11.3153	1	Manufacturer of gp ELISA test	Published	10/22/2008	Initial Load VADS 3.0
Health Care Practice Type (TB)	PHVS_HealthCarePracticeType_TB	2.16.840.1.114222.4.11.995	1	TB-specific healthcare practice types	Published	10/22/2008	Initial Load VADS 3.0
HIV Status	PHVS_HIVStatusQualitativeResult_NND	2.16.840.1.114222.4.11.998	1	The patient's HIV status (e.g., Positive, Negative, Indeterminate)	Published	10/22/2008	Initial Load VADS 3.0
Identifier Type	PHVS_IdentifierType_CDC	2.16.840.1.114222.4.11.999	1	Identifier type codes.  Builds on HL7 Table 0203 Identifier Type	Published	10/22/2008	Initial Load VADS 3.0
IgG Test Type (VZ)	PHVS_IgGTestType_VZ	2.16.840.1.114222.4.11.3151	1	Type of IgG Test for Varicella	Published	10/22/2008	Initial Load VADS 3.0
IgM Test Type (VZ)	PHVS_IgMTestType_VZ	2.16.840.1.114222.4.11.3150	1	Type of IgM Test for Varicella	Published	10/22/2008	Initial Load VADS 3.0
Immigration Status	PHVS_ImmigrationStatus_NND	2.16.840.1.114222.4.11.3163	1	Patient's immigration status answer list	Published	10/22/2008	Initial Load VADS 3.0
Immunization Body Site	PHVS_ImmunizationBodySite_CDC	2.16.840.1.114222.4.11.3023	1	Specifies anatomical location of immunization / Vaccination	Published	10/22/2008	Initial Load VADS 3.0
Immunization Information Source (CRS)	PHVS_ImmunizationInformationSource_CRS	2.16.840.1.114222.4.11.3128	1	Source of information for patient immunization history answer list	Published	10/22/2008	Initial Load VADS 3.0
Incarceration Type (Hepatitis)	PHVS_IncarcerationType_Hepatitis	2.16.840.1.114222.4.11.3031	1	Codes specifying the types of incarceration or jail-type facilities.	Published	10/22/2008	Initial Load VADS 3.0
Industry (NAICS)	PHVS_Industry_NAICS_2007	2.16.840.1.114222.4.11.1100	1	The North American Industry Classification System (NAICS) consists of a set of six digit codes that classify and categorize industries.  It also organizes the categories on a production/process-oriented basis.  This new, uniform, industry-wide classification system has been designed as the index for statistical reporting of all economic activities of the U.S., Canada, and Mexico.	Published	10/22/2008	Initial Load VADS 3.0
Information Source	PHVS_InformationSource_CDC	2.16.840.1.114222.4.11.3088	1	Source of information for patient history answer list	Published	10/22/2008	Initial Load VADS 3.0
Injury Occurred Environment (VPD)	PHVS_InjuryOccurredEnvironment_VPD	2.16.840.1.114222.4.11.3129	1	Environment where the acute wound or injury occurred answer list	Published	10/22/2008	Initial Load VADS 3.0
Injury Type (VPD)	PHVS_InjuryType_VPD	2.16.840.1.114222.4.11.3130	1	Injury type answer list for tetanus	Published	10/22/2008	Initial Load VADS 3.0
Interview Status	PHVS_InterviewStatus_CDC	2.16.840.1.114222.4.11.3089	1	Answer list for status of patient interview for international travel history	Published	10/22/2008	Initial Load VADS 3.0
Isolate Availability EIP Testing	PHVS_IsolateAvailabilityEIPTesting_NND	2.16.840.1.114222.4.11.3039	1	Indicates isloate availability for Emerging Infectious Program (EIP) Testing	Published	10/22/2008	Initial Load VADS 3.0
Isolate Not Available EIP Test Reason	PHVS_IsolateNotAvailableEIPTestReason_NND	2.16.840.1.114222.4.11.3040	1	Specifies reason isolate not available for Emerging Infectious Program (EIP) Testing	Published	10/22/2008	Initial Load VADS 3.0
Isolate Not Received Reason	PHVS_IsolateNotReceivedReason_NND	2.16.840.1.114222.4.11.3041	1	Specifies reason isolate was not received.	Published	10/22/2008	Initial Load VADS 3.0
Isolate Not Sent To NARMS Reason	PHVS_IsolateNotSentToNARMSReason_NND	2.16.840.1.114222.4.11.3042	1	Specifies reason isolate not sent to National Antimicrobial Resistance Management System	Published	10/22/2008	Initial Load VADS 3.0
Lab Result (Pertussis)	PHVS_LabResult_Pertussis	2.16.840.1.114222.4.11.3131	1	Bordetella Pertussis Lab Testing Result	Published	10/22/2008	Initial Load VADS 3.0
Lab Result (Rubella)	PHVS_LabResult_Rubella	2.16.840.1.114222.4.11.3132	1	Rubella Lab Testing Result	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Interpretation	PHVS_LabTestInterpretation_CDC	2.16.840.1.114222.4.11.3048	1	Codes specifying qualitative lab test interpretation.	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Interpretation (Flu)	PHVS_LabTestInterpretation_Flu	2.16.840.1.114222.4.11.3252	1	Epidemiologic interpretation of the results of the tests performed for Influenza Case.	Published	10/29/2009	Lab Test Interpretation (Flu)
Lab Test Interpretation (Pediatric Flu)	PHVS_LabTestInterpretation_PediatricFlu	2.16.840.1.114222.4.11.3263	1	Epidemiologic interpretation of the results of the tests performed for this case.	Published	10/29/2009	Lab Test Interpretation (Pediatric Flu)
Lab Test Method (VZ)	PHVS_LabTestMethod_VZ	2.16.840.1.114222.4.11.3149	1	Other types of varicella lab testing that may have been performed	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Procedure (Flu)	PHVS_LabTestProcedure_Flu	2.16.840.1.114222.4.11.3251	1	Epidemiologic interpretation of the type of test(s) performed for Influenza Case.	Published	10/29/2009	Lab Test Procedure (Flu)
Lab Test Procedure (Pediatric Flu)	PHVS_LabTestProcedure_PediatricFlu	2.16.840.1.114222.4.11.3262	1	Epidemiologic interpretation of the type of test(s) performed for this case.	Published	10/29/2009	Lab Test Procedure (Pediatric Flu)
Lab Test Result Name	PHVS_LabTestName_CDC	2.16.840.1.114222.4.11.1002	3	Laboratory Resulted Test identifiers and names - LOINC is the starter set	Published	03/27/2025	Updates for LOINC Release January 2010
Language	PHVS_Language_ISO_639-2_Alpha3	2.16.840.1.114222.4.11.831	1	Primary spoken language	Published	06/21/2020	Initial Load VADS 3.0
Lettuce Type (FDD)	PHVS_LettuceType_FDD	2.16.840.1.114222.4.11.3090	1	Type of lettuce consumed answer list	Published	10/19/2018	Initial Load VADS 3.0
Live Birth Outcome (Rubella)	PHVS_LiveBirthOutcome_Rubella	2.16.840.1.114222.4.11.3133	1	Types of live birth outcome of pregnancy	Published	10/22/2008	Initial Load VADS 3.0
Major Site of Disease (TB)	PHVS_MajorDiseaseSite_TB	2.16.840.1.114222.4.11.1007	1	Main body site where TB manifested	Published	10/22/2008	Initial Load VADS 3.0
Manufacturers of vaccines (MVX)	PHVS_ManufacturersOfVaccinesMVX_CDC_NIP	2.16.840.1.114222.4.11.826	1	The CDC's National Immunization Program (NIP) maintains the HL7 external code set MVX. HL7 version 2.x Manufacturers of vaccines (code=MVX) used in chapter(s) 4. 	Published	07/19/2023	Initial Load VADS 3.0
Marital Status (HL7)	PHVS_MaritalStatus_HL7_2x	2.16.840.1.114222.4.11.809	1	HL7 Table 0002 Marital Status codes	Published	10/22/2008	Initial Load VADS 3.0
Maternal Infection (FDD)	PHVS_MaternalInfection_FDD	2.16.840.1.114222.4.11.3091	1	Type of infection in mother answer list	Published	10/22/2008	Initial Load VADS 3.0
Meat Purchase Info (FDD)	PHVS_MeatPurchaseInfo_FDD	2.16.840.1.114222.4.11.3092	1	Where suspect meat obtained answer list	Published	10/22/2008	Initial Load VADS 3.0
Medication Received (VZ)	PHVS_MedicationReceived _VZ	2.16.840.1.114222.4.11.3147	1	Medication received to treat Varicella	Published	10/22/2008	Initial Load VADS 3.0
Medication Treatment (FDD)	PHVS_MedicationTreatment_FDD	2.16.840.1.114222.4.11.3118	1	Treatments/medications before Vibrio illness began answer list	Published	10/22/2008	Initial Load VADS 3.0
Medication Treatment (Flu)	PHVS_MedicationTreatment_Flu	2.16.840.1.114222.4.11.3244	2	List of Medications related to Flu	Published	07/02/2009	Added Concept Other to Value Set
Microbiology Test Result Name	PHVS_MicrobiologyLabTestResultName_CDC	2.16.840.1.114222.4.11.1073	3	List of Microbiology test result names	Published	10/22/2008	Updates for LOINC Release January 2010
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	4	Microorganisms/infectious agents	Published	10/28/2024	SNOMED Update 01/31/2010
Microorganism (Pediatric Flu)	PHVS_Microorganism_PediatricFlu	2.16.840.1.114222.4.11.3266	1	Organism cultured from specimen	Published	10/29/2009	Microorganism (Pediatric Flu)
Microscopic Exam Culture Site (TB)	PHVS_MicroscopicExamCultureSite_TB	2.16.840.1.114222.4.11.1010	1	Culture sites for TB	Published	10/22/2008	Initial Load VADS 3.0
Microscopic Exam Type (TB)	PHVS_MicroscopicExamType_TB	2.16.840.1.114222.4.11.3160	1	Type of microscopic examination performed	Published	10/22/2008	Initial Load VADS 3.0
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	1	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	Initial Load VADS 3.0
National Reporting Jurisdiction	PHVS_NationalReportingJurisdiction_NND	2.16.840.1.114222.4.11.3236	1	National jurisdiction reporting the notification to CDC	Published	06/29/2009	Initial Load of Value Set
Nationally Notifiable Disease Surveillance System (NNDSS) & Other Conditions of Public Health Importance	PHVS_NotifiableEvent_Disease_Condition_CDC_NNDSS	2.16.840.1.114222.4.11.1015	3	List of notifiable events, which includes infectious and non-infectious diseases or conditions. This list includes events that are notifiable at the state and national level.	Published	03/10/2025	New Version based on NND Code System Release January 2010
Nationally Notifiable Infectious Disease reportable to the Nationally Notifiable Disease Surveillance System	PHVS_NationallyNotifiableInfectiousDisease_CDC_NNDSS	2.16.840.1.114222.4.11.1016	2	List of notifiable events, which includes only infectious disease that are notifiable at the national level.	Published	01/21/2016	New Version based on NND Code System Release January 2010
No Case Reason (CRS)	PHVS_NoCaseReason_CRS	2.16.840.1.114222.4.11.3134	1	Reason list for why the case is not Congenital Rubella Syndrome	Published	10/22/2008	Initial Load VADS 3.0
Non Pork Type (FDD)	PHVS_NonPorkType_FDD	2.16.840.1.114222.4.11.3093	1	Type of non-pork consumed answer list	Published	10/22/2008	Initial Load VADS 3.0
