View Name	View Description	View Version	Status Date
NETSS Extended Data Set	NETSS Extended Data Set	2	08/06/2011 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
 Birth Attendees (NETSS)	PHVS_BirthAttendees_NETSS	2.16.840.1.114222.4.11.3414	1		Published	01/06/2011	NETSS related data elements
Age Unit (NETSS)	PHVS_AgeUnit_UCUM_NETSS	2.16.840.1.114222.4.11.3408	1		Published	01/04/2011	NETSS related data elements
Antibiotic Treatment (NETSS)	PHVS_AntibioticTreatment_NETSS	2.16.840.1.114222.4.11.3423	1		Published	01/07/2011	NETSS related data elements
Antimicrobial Agent NETSS	PHVS_AntimicrobialAgent_NETSS	2.16.840.1.114222.4.11.3434	1		Published	04/05/2011	Antimicrobial Agent NETSS
Associated Conditions (NETSS)	PHVS_AssociatedConditions_NETSS	2.16.840.1.114222.4.11.3422	1		Published	01/07/2011	NETSS related data elements
Bacterial Infection Syndrome (NETSS)	PHVS_BacterialInfectionSyndrome_NETSS	2.16.840.1.114222.4.11.3421	1		Published	01/12/2011	NETSS related data elements
Body Region Tetanus (NETSS)	PHVS_BodyRegion_Tetanus_NETSS	2.16.840.1.114222.4.11.3411	1		Published	01/05/2011	NETSS related data elements
Case Class Status (NETSS)	PHVS_CaseClassStatus_NETSS	2.16.840.1.114222.4.11.3407	1		Published	01/04/2011	NETSS related data elements
Contact Type Hepatitis A (NETSS)	PHVS_ContactType_HepatitisA_NETSS	2.16.840.1.114222.4.11.3417	1	Contact Type Hepatitis A (NETSS)	Published	01/31/2011	NETSS related data elements
Disease Acquired Jurisdiction (NETSS)	PHVS_DiseaseAcquiredJurisdiction_NETSS	2.16.840.1.114222.4.11.3406	1		Published	01/04/2011	NETSS related data elements
Geographic Region (NETSS)	PHVS_GeographicRegion_NETSS	2.16.840.1.114222.4.11.3425	1	Geographic region value set concepts have been mapped to SNOMED as it includes the relationship between the regions and the countries.	Published	01/31/2011	NETSS related data elements
Hemodialysis Contact Type Hepatitis (NETSS)	PHVS_HemodialysisContactType_Hepatitis_NETSS	2.16.840.1.114222.4.11.3424	1		Published	01/07/2011	NETSS related data elements
Injury Occurred Environment (NETSS)	PHVS_InjuryOccurredEnvironment_NETSS	2.16.840.1.114222.4.11.3412	1		Published	01/05/2011	NETSS related data elements
Injury Type (NETSS)	PHVS_InjuryType_NETSS	2.16.840.1.114222.4.11.3413	1		Published	01/12/2011	NETSS related data elements
Lab Test Result Lyme (NETSS)	PHVS_LabTestResult_Lyme_NETSS	2.16.840.1.114222.4.11.3419	1		Published	01/06/2011	NETSS related data elements
Manufacturers Of Vaccines (NETSS)	PHVS_ManufacturersOfVaccinesMVX_NETSS	2.16.840.1.114222.4.11.3416	1		Published	01/06/2011	NETSS related data elements
Microorganism (NETSS)	PHVS_Microorganism_NETSS	2.16.840.1.114222.4.11.3420	1		Published	01/06/2011	NETSS related data elements
Result Status (NETSS)	PHVS_ResultStatus_NETSS	2.16.840.1.114222.4.11.3428	1	Result Status (NETSS)	Published	01/31/2011	NETSS related data elements
Serogroup (NETSS)	PHVS_Serogroup_NETSS	2.16.840.1.114222.4.11.3432	1		Published	08/06/2011	NETSS Meningitidis Serogroup
Serotype (NETSS)	PHVS_Serotype_NETSS	2.16.840.1.114222.4.11.3435	1		Published	08/06/2011	2.16.840.1.114222.4.11.3435
Sexual Preference (NETSS)	PHVS_SexualPreference_NETSS	2.16.840.1.114222.4.11.3418	1		Published	01/06/2011	NETSS related data elements
Stay Period Hepatitis (NETSS)	PHVS_StayPeriod_Hepatitis_NETSS	2.16.840.1.114222.4.11.3600	1	Stay Period Hepatitis (NETSS)	Published	01/31/2011	NETSS - Jan 2011
Time Period Tetanus (NETSS)	PHVS_TimePeriod_Tetanus_NETSS	2.16.840.1.114222.4.11.3599	1	Time Period Tetanus (NETSS)	Published	01/31/2011	NETSS - Jan 2011
Transmission Setting (NETSS)	PHVS_TransmissionSetting_NETSS	2.16.840.1.114222.4.11.3409	1	Transmission Setting (NETSS)	Published	01/31/2011	NETSS related data elements
Vaccine Not Given Reasons (NETSS)	PHVS_VaccineNotGivenReasons_NETSS	2.16.840.1.114222.4.11.3410	1	Vaccine Not Given Reasons (NETSS)	Published	01/31/2011	NETSS related data elements
Vaccines Administered (NETSS)	PHVS_VaccinesAdministeredCVX_NETSS	2.16.840.1.114222.4.11.3415	1		Published	01/12/2011	NETSS related data elements
Wound Depth Tetanus (NETSS)	PHVS_WoundDepth_Tetanus_NETSS	2.16.840.1.114222.4.11.3598	1	Wound Depth Tetanus (NETSS)	Published	01/31/2011	NETSS Jan 2011
