View Name	View Description	View Version	Status Date
PHLIP ETOR Salmonella	PHLIP ETOR Salmonella	3	09/06/2011 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Abnormal Flag (HL7)	PHVS_AbnormalFlag_HL7_2x	2.16.840.1.114222.4.11.800	1	HL7 version 2.5 User-Defined Table 0078 Abnormal Flags used for laboratory result interpretation	Published	10/22/2008	Initial Load VADS 3.0
Acknowledgment Code (HL7) (PHLIP)	PHVS_Acknowledgment Code_PHLIP	2.16.840.1.114222.4.11.5020	1	Constrained version of PHVS_AcknowledgementCode HL7 v2x	Published	06/02/2011	starter set for ETOR
Administrative Sex (HL7)	PHVS_AdministrativeSex_HL7_2x	2.16.840.1.114222.4.11.927	1	HL7 version 2.5 User-Defined Table 0001 Administrative sex code	Published	10/22/2008	Initial Load VADS 3.0
Age unit	PHVS_AgeUnit_UCUM	2.16.840.1.114222.4.11.878	1	Units of measure for age	Published	08/20/2015	Initial Load VADS 3.0
Coding System HL7 2x Table 0396	PHVS_CodingSystem_HL7_2x_Table0396	2.16.840.1.114222.4.11.3338	1	HL7 Table 0396 defines the standard coding systems recognized by HL7. The table defines a mechanism by which locally defined codes can be transmitted. Any code/coding system not defined in HL7 Table 0396 is considered a local coding system from the HL7 perspective. Coding systems that are identified in this implementation guide will be identified according to the recommended HL7 nomenclature from table 0396 as 99DR-zzz where zzz represents a string identifying the specific non-standard coding system. It is strongly suggested that implementers instead adopt the use of 99zz approach to identifying local coding systems since HL7 has indicated that use of "L" for local coding systems is retained only for backwards compatibility, and its use may be withdrawn in a subsequent 2.x version. Note that the local use of 99zzz should not collide with any of the locally defined coding systems identified in this implementation guide.	Published	02/12/2021	Initial Import for coding system (HL7 Table 0396) based on March 10th, 2010 version that was published on HL7 Vocabulary TC website.
Comment Type	PHVS_CommentType_CDC	2.16.840.1.114222.4.11.975	1	Type of comment	Published	10/22/2008	Initial Load VADS 3.0
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	1	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	01/17/2024	Initial Load VADS 3.0
Degree License Certification (HL7)	PHVS_DegreeLicenseCertificate_HL7_2x	2.16.840.1.114222.4.11.808	1	The standard classification awarded upon completion of a unified program of study.  HL7 2.5 User-defined Table 0360 - Degree.	Published	10/22/2008	Initial Load VADS 3.0
Error Severity (HL7)	PHVS_ErrorSeverity_HL7_2x	2.16.840.1.114222.4.11.993	1	Identifies severity of an application error when messaging. Knowing if something is Error, Warning, or Information is intrinsic to how an application handles the content contained in the message. Uses HL7 Table 0516.	Published	06/14/2018	Initial Load VADS 3.0
Ethnicity Group including Unknown	PHVS_EthnicityGroup_CDC_Unk	2.16.840.1.114222.4.11.3015	1	Ethnicity Group including Unknown	Published	10/22/2008	Initial Load VADS 3.0
Identifier Type	PHVS_IdentifierType_CDC	2.16.840.1.114222.4.11.999	3	Identifier type codes.  Builds on HL7 Table 0203 Identifier Type	Published	10/22/2008	Version 2 content
Identifier Type (HL7) (PHLIP for PID3.5)	PHVS_IdentifierType_HL7_PHLIP_PID3.5	2.16.840.1.114222.4.11.5027	1	use for PID.3.5 in ETOR Salmonella phase 1	Published	08/31/2011	use for ETOR Salmonella phase 1
Lab Test Order (PHLIP Sal)	PHVS_LabTestOrder_PHLIP_Sal	2.16.840.1.114222.4.11.5005	1		Published	06/02/2011	ETOR starter set
Lab Test Result PHLIP Salmonella	PHVS_LabTestResult_PHLIP_Sal	2.16.840.1.114222.4.11.5026	1	results in OBX.5 drawn from SNOMED organism or qualifier hierarchy or PLR coding system	Published	08/30/2011	for ETOR Salmonella phase 1
Message Error Condition Codes (HL7)	PHVS_MessageErrorConditionCodes_HL7_2x	2.16.840.1.114222.4.11.974	1	Type of error that occurred while processing the message identified in MSA.2	Published	06/14/2018	Initial Load VADS 3.0
Method Detail (PHLIP)	PHVS_MethodDetail_PHLIP	2.16.840.1.114222.4.11.5028	1	use with OBX.17	Published	08/31/2011	for ETOR Salmonella phase 1
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	2	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	updated artist name
Observation Result Status (PHLIP)	PHVS_ObservationResultStatus_PHLIP	2.16.840.1.114222.4.11.5014	1		Published	06/02/2011	ETOR starter set
Order Control Codes (HL7) (PHLIP)	PHVS_OrderControlCodes_PHLIP	2.16.840.1.114222.4.11.5002	1		Published	06/02/2011	starter set for ETOR
Order Status (HL7)	PHVS_OrderStatus_HL7_2x	2.16.840.1.114222.4.11.1025	1	Reports the status of an order upon request or when the status changes.  It may be used in a message with Order Control value of SR or SC.	Published	10/22/2008	Initial Load VADS 3.0
Organization Unit (PHLIP)	PHVS_OrganizationUnit_PHLIP	2.16.840.1.114222.4.11.5016	1	extension of HL70406 for use with ROL.10	Published	05/11/2011	ETOR starter set
Organizational Name Type (HL7)	PHVS_TypeOfOrganizationalNameType_HL7_2x	2.16.840.1.114222.4.11.3346	1	HL7 version 2.x Organizational name type used in chapter(s) 2; HL7 table 0204	Published	08/14/2010	HL7 v2.5
Original Specimen Collection Method PHLIP	PHVS_OrigSpecimenCollectionMethod_PHLIP	2.16.840.1.114222.4.11.5023	1	describes the specimen collection method for the cliniccal (original) specimen - uses SNOMED CT procedure hierarchy	Published	08/30/2011	used for ETOR (Sal) pilot
Original Specimen Source Site Modifier PHLIP	PHVS_OrigSpecimenSourceSiteMod_PHLIP	2.16.840.1.114222.4.11.5022	1	describes the source site in more detail than the speicmensource site terems - drawn form SNOMED qualifier hierarchy	Published	08/30/2011	use for ETOR (Salmonella) phase 1
