View Name	View Description	View Version	Status Date
Public Health Case Reporting (CDA)	Vocabulary associated with Public Health Case Reporting (PHCR) CDAR2 DSTU Implementation Guide. The scope of this IG includes four disease-specific case reports: Anthrax, Acute Hepatitis B, Tuberculosis, and Tularemia.	3	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Administrative Gender (HL7 V3)	PHVS_AdministrativeGender_HL7_V3	2.16.840.1.113883.1.11.1	1	Administrative Gender based upon HL7 V3 vocabulary. This value set contains only male, female and undifferentiated concepts.	Published	02/23/2019	CDA Public Health Case Report New Value Set
Animal	PHVS_Animal_CDC	2.16.840.1.114222.4.11.1074	4	Animal Keyword: Animal Type based on SNOMED domain (387961004)	Published	08/14/2010	SNOMED Update 01/31/2010
Birth Country	PHVS_BirthCountry_CDC	2.16.840.1.114222.4.11.3200	1	Country of Birth value set includes current countries as well as historical countries (eg. USSR). This value set is based upon ISO 3166-1, Alpha-3 codes (current countries), ISO 3166-3 (retired countries) and FIPS 10-4 (US Territories, Countries that are not found in ISO 3166)	Published	12/10/2019	CDA Public Health Case Report New Value Set
Blood or body fluid exposure event	PHVS_BloodOrBodyFluidExposureEvent_CDC	2.16.840.1.114222.4.11.3224	1	Blood or Body Fluid Exposure Event value set has data elements or questions that captures the risk for transmission of disease based on Blood or Body Fluid exposure. This value set is based upon Clinical LOINC. Most of these data elements are occupational risk factors.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Blood or body fluid exposure frequency	PHVS_BloodOrBodyFluidExposureFrequency_CDC	2.16.840.1.114222.4.11.3225	1	Blood or body fluid exposure frequency value set has qualitative concepts that expresses the frequency such as frequent and infrequent. This value set is based upon SNOMED CT Qualifier domain (Frequencies - subdomain)	Published	07/07/2009	CDA Public Health Case Report New Value Set
Blood or body fluid exposure related procedure	PHVS_BloodorBodyFluidExposureRelatedProcedure_CDC	2.16.840.1.114222.4.11.3226	1	Procedures involving blood or body fluid exposure. These procedures are considered as risk factors especially for bloodborne infectious diseases such as HIV, Hepatitis B and C. This value set is based upon SNOMED CT Procedure domain.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Body Site Value Set	PHVS_BodySite_HITSP	2.16.840.1.113883.3.88.12.3221.8.9	2	Contains values descending from the SNOMED CT® Anatomical Structure (91723000) hierarchy or Acquired body structure (body structure) (280115004) or Anatomical site notations for tumor staging (body structure) (258331007) or Body structure, altered from its original anatomical structure (morphologic abnormality) (118956008) or Physical anatomical entity (body structure) (91722005) This indicates the anatomical site.	Published	01/15/2015	Updated based on SNOMED 1/31/2010 Release
Contact Type (Hepatitis B)	PHVS_ContactType_HepatitisB	2.16.840.1.114222.4.11.3210	1	Types of contact that have been identified by public health departments as associated with higher risk of coming into contact with the hepatitis B virus. 	Published	07/07/2009	CDA Public Health Case Report New Value Set
Disease Type (Acute Hepatitis B)	PHVS_DiseaseType_AcuteHepatitisB	2.16.840.1.114222.4.11.3221	1	Acute hepatitis B disease type value set has problems or disease related to Acute Hepatitis B. This value set is based upon SNOMED CT	Published	07/07/2009	CDA Public Health Case Report New Value Set
Disease Type (Anthrax)	PHVS_DiseaseType_Anthrax	2.16.840.1.114222.4.11.3220	1	Anthrax disease type value set has problems or disease related to Anthrax. This value set is based upon SNOMED CT	Published	07/07/2009	CDA Public Health Case Report New Value Set
Disease Type (Hepatitis)	PHVS_DiseaseType_Hepatitis	2.16.840.1.114222.4.11.3230	1	Hepatitis disease type value set has problems or disease related to hepatitis. This value set is based upon SNOMED CT.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Disease Type (STD)	PHVS_DiseaseType_STD	2.16.840.1.114222.4.11.3231	2	Sexually Transmitted Disease type value set has problems or disease related to STD. This value set is based upon SNOMED CT.	Published	07/07/2009	Added new concept 8098009 - Sexually transmitted infectious disease (disorder)
Disease Type (TB)	PHVS_DiseaseType_TB	2.16.840.1.114222.4.11.3222	1	Tuberculosis disease type value set has problems or disease related to Tuberculosis. This value set is based upon SNOMED CT.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Disease Type (Tularemia)	PHVS_DiseaseType_Tularemia	2.16.840.1.114222.4.11.3223	1	Tularemia disease type value set has problems or disease related to Tularemia. This value set is based upon SNOMED CT.	Published	07/07/2009	CDA Public Health Case Report New Value Set
Drug Susceptibility Test Result Name	PHVS_DrugSusceptibilityTestResultName_CDC	2.16.840.1.114222.4.11.1071	3	Drug / Antimicrobial Test Result Name	Published	10/22/2008	Updates for LOINC Release January 2010
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
Exposure Location	PHVS_ExposureLocation_CDC	2.16.840.1.114222.4.11.3209	1	Locations that have been identified by public health departments as locations that have been associated with higher risk of coming into contact with infectious diseases such as tuberculosis and Hepatitis B	Published	07/07/2009	CDA Public Health Case Report New Value Set
