View Name	View Description	View Version	Status Date
Trichinellosis Case Notification	List of value sets for the set of data elements used to communicate information to meet the requirements for Trichinellosis Case Notifications to CDC.	3	09/17/2021 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Country	PHVS_Country_ISO_3166-1	2.16.840.1.114222.4.11.828	6	Codes representing country of origin, nationality, citizenship, address country	Published	12/31/2018	v6: Based on ISO 3166-1 standard as of 12/01/2019
Eosinophil Units	PHVS_EosinophilUnits_CDC	2.16.840.1.114222.4.11.7667	1	Units for eosinophil value	Published	02/08/2018	v1
Food Cooking Method (Trich)	PHVS_FoodCookingMethod_Trich	2.16.840.1.114222.4.11.7671	1	Method of cooking	Published	02/08/2018	v1
Food Processing Method (Trich)	PHVS_FoodProcessingMethod_Trich	2.16.840.1.114222.4.11.7669	1	Meat preparation after purchase (further food processing)	Published	02/08/2018	v1
Industry CDC Census 2010	PHVS_Industry_CDC_Census2010	2.16.840.1.114222.4.11.7187	1	2010 Industry coding system used by CDC (NIOSH & NCHS) for coding industry text.  Industry describes an economic/business sector comprised of businesses/ enterprises concerned with the output of a specified category of products or services (e.g., the construction industry or the agriculture industry).  This industry code system includes  2007 U.S. Census Bureau industry codes  and  three additional codes developed by CDC for unpaid workers.  The 2010 Census industry categories  are based on the 2007 North American Industry Classification System (NAICS).  The PH_Occupation_CDC_Census2010  code system should be used in conjunction with this industry code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 981F6E94-1A0C-E311-81F2-0017A477041A
Lab Test Interpretation (Trich)	PHVS_LabTestInterpretation_Trich	2.16.840.1.114222.4.11.7674	1	Epidemiologic interpretation of the results of the test(s) performed for this case. This is a qualitative test result.  (e.g, positive, detected, negative)	Published	02/08/2018	v1
Lab Test Type (Trich)	PHVS_LabTestType_Trich	2.16.840.1.114222.4.11.7673	4	Epidemiologic interpretation of the type of test(s) performed for this case. 	Published	02/20/2018	Added Genotype
Meat Consumed Type (Trich)	PHVS_MeatConsumedType_Trich	2.16.840.1.114222.4.11.7668	1	Specify type of suspect meat consumed [i.e., meat item(s) suspected of making the person ill]	Published	02/08/2018	v1
Meat Purchase Info (Trich)	PHVS_MeatPurchaseInfo_Trich	2.16.840.1.114222.4.11.7670	1	Where was the suspected meat obtained?	Published	02/08/2018	v1
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1
Performing Lab Type (Trich)	PHVS_PerformingLaboratoryType_Trich	2.16.840.1.114222.4.11.7672	1	Performing laboratory type	Published	02/08/2018	v1
Present Absent Unknown Not Examined	PHVS_PresentAbsentUnkNotExamined_CDC	2.16.840.1.114222.4.11.3097	1	Larvae found in suspect food answer list	Published	10/22/2008	Initial Load VADS 3.0
Signs and Symptoms (Trich)	PHVS_SignsSymptoms_Trich	2.16.840.1.114222.4.11.7666	1	Signs and symptoms of trichinellosis	Published	02/08/2018	v1
Specimen type (Trich)	PHVS_SpecimenType_Trich	2.16.840.1.114222.4.11.7675	1	This indicates the type of specimen tested.	Published	02/08/2018	v1
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Strain Type (Trich)	PHVS_StrainType_Trich	2.16.840.1.114222.4.11.7676	3	If the specimen was sent for strain identification, indicate the strain.
	Published	03/19/2018	Updated with new snomed code for Trichinella nativa (organism).
Temperature Unit	PHVS_TemperatureUnit_UCUM	2.16.840.1.114222.4.11.919	1	Units of measure for temperature	Published	10/22/2008	Initial Load VADS 3.0
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
