View Name	View Description	View Version	Status Date
Tuberculosis Case Notification	The vocabulary used for Tuberculosis Case Notifications to CDC.	4	11/15/2013 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Additional Site of Disease (TB)	PHVS_AdditionalDiseaseSite_TB	2.16.840.1.114222.4.11.959	1	Other body sites where Tuberculosis found	Published	10/22/2008	Initial Load VADS 3.0
Birth Country (TB)	PHVS_BirthCountry_TB	2.16.840.1.114222.4.11.3169	2	Country of Birth. This includes current countries as well as historical countries (eg. USSR). This list is derived from ISO 3166-1, ISO 3166-3 (retired countries) and FIPS 10-4 (US Territories, Countries)	Published	11/15/2016	v2
Case Count Status (TB)	PHVS_CaseCountStatus_TB	2.16.840.1.114222.4.11.3158	1	Case count status for Tuberculosis	Published	03/14/2018	Initial Load VADS 3.0
Case Investigation Status	PHVS_CaseInvestigationStatus_NND	2.16.840.1.114222.4.11.970	1	The current status of the investigation (open or closed)	Published	10/22/2008	Initial Load VADS 3.0
Case Verification (TB)	PHVS_CaseVerification_TB	2.16.840.1.114222.4.11.972	1	Current status of the RVCT.	Published	03/14/2018	Initial Load VADS 3.0
Cause of Death Related to TB	PHVS_CauseOfDeathRelatedTo_TB	2.16.840.1.114222.4.11.3166	1	Answer list to indicate whether cause of death was related to TB	Published	10/22/2008	Initial Load VADS 3.0
Chest XRay Result	PHVS_ChestXRayResult_CDC	2.16.840.1.114222.4.11.930	1	Chest X-ray Results	Published	10/22/2008	Initial Load VADS 3.0
City	PHVS_City_USGS_GNIS	2.16.840.1.114222.4.11.973	1	US Geological Survey Geographic Names Information System - location codes	Published	09/15/2020	Initial Load VADS 3.0
County	PHVS_County_FIPS_6-4	2.16.840.1.114222.4.11.829	1	Codes representing county of origin, address county, reporting county. 	Published	12/10/2019	Initial Load VADS 3.0
Detailed Race	PHVS_Race_CDC	2.16.840.1.114222.4.11.876	1	Specific race codes reported on a limited basis	Published	10/22/2008	Initial Load VADS 3.0
Directly Observed Therapy (TB)	PHVS_DirectlyObservedTherapy_TB	2.16.840.1.114222.4.11.982	1	The therapy that was directly observed by the health care provider (directly observed therapy, or DOT)	Published	10/22/2008	Initial Load VADS 3.0
Disease Acquired Jurisdiction	PHVS_DiseaseAcquiredJurisdiction_NND	2.16.840.1.114222.4.11.3030	1	Codes specifying where the disease/condition was likely acquired.	Published	09/15/2014	Initial Load VADS 3.0
Ethnicity group	PHVS_EthnicityGroup_CDC	2.16.840.1.114222.4.11.837	1	Whether the patient is hispanic or not	Published	10/22/2008	Initial Load VADS 3.0
General Condition Status	PHVS_GeneralConditionStatus_CDC	2.16.840.1.114222.4.11.994	1	Patient's general status (alive, dead)	Published	10/22/2008	Initial Load VADS 3.0
Health Care Practice Type (TB)	PHVS_HealthCarePracticeType_TB	2.16.840.1.114222.4.11.995	1	TB-specific healthcare practice types	Published	10/22/2008	Initial Load VADS 3.0
HIV Status	PHVS_HIVStatusQualitativeResult_NND	2.16.840.1.114222.4.11.998	1	The patient's HIV status (e.g., Positive, Negative, Indeterminate)	Published	10/22/2008	Initial Load VADS 3.0
Immigration Status	PHVS_ImmigrationStatus_NND	2.16.840.1.114222.4.11.3163	1	Patient's immigration status answer list	Published	10/22/2008	Initial Load VADS 3.0
Lab Test Interpretation	PHVS_LabTestInterpretation_CDC	2.16.840.1.114222.4.11.3048	1	Codes specifying qualitative lab test interpretation.	Published	10/22/2008	Initial Load VADS 3.0
Microscopic Exam Culture Site (TB)	PHVS_MicroscopicExamCultureSite_TB	2.16.840.1.114222.4.11.1010	1	Culture sites for TB	Published	10/22/2008	Initial Load VADS 3.0
Microscopic Exam Type (TB)	PHVS_MicroscopicExamType_TB	2.16.840.1.114222.4.11.3160	1	Type of microscopic examination performed	Published	10/22/2008	Initial Load VADS 3.0
